mar_cat,median_uplift,mean_uplift,count
Separated,0.6912536532524287,0.8675965795680682,191
Divorced,0.5258118399090701,0.7624397838246549,499
Single,0.47699303590167585,0.9852687921403728,733
Widowed,0.4742970522438203,0.530973279974567,549
Married and living with your husband/wife,0.4601090560709344,0.5923171479176649,2563
Cohabitee,0.4568304280576236,0.6982428472253619,572
Civil Partner or Former Civil Partner,0.33199932379444996,0.40598544125117225,26
