tenure_cat,median_uplift,mean_uplift,count
LA (furnished unfurnished),0.7791125398004799,0.9499245460741292,455
Hsng Assn (furnished unfrnish),0.7205414952215263,0.8478568676985033,407
Priv. rented (unfurn),0.5615916255456799,0.7624899262537889,607
Rent free,0.5292143988653644,0.7596108232656343,53
Priv. rented (furnished),0.43569244426753084,1.366660045449913,112
Owned outright,0.432829731131942,0.6778884491098004,1906
Owned by rental purchase,0.40356624805646857,0.4869761954005176,18
Owned with mortgage,0.39947588763542236,0.47815243831360454,1575
