decile,median_uplift,mean_uplift,n
D1,1.4704921246977323,2.5395709044035266,514
D2,0.8824827180467716,0.8916876852753086,513
D3,0.7045855177050129,0.7066538262952373,513
D4,0.5895316858542855,0.5911441184320315,513
D5,0.5067823243003509,0.5073942015317636,514
D6,0.4391087848103489,0.43950548337861384,513
D7,0.379775358655629,0.3798120640156227,513
D8,0.3204487307666671,0.3208944234094196,513
D9,0.2601506445665803,0.2596245212691015,513
D10,0.18732723173737598,0.17894837207316378,514
