tenure_cat,median_uplift,mean_uplift,count
LA (furnished unfurnished),0.311645015920192,0.37996981842965166,455
Hsng Assn (furnished unfrnish),0.28821659808861055,0.33914274707940134,407
Priv. rented (unfurn),0.22463665021827198,0.30499597050151556,607
Rent free,0.21168575954614577,0.3038443293062537,53
Priv. rented (furnished),0.17427697770701228,0.5466640181799651,112
Owned outright,0.17313189245277674,0.27115537964392017,1906
Owned by rental purchase,0.16142649922258728,0.19479047816020706,18
Owned with mortgage,0.15979035505416891,0.1912609753254418,1575
