mar_cat,median_uplift,mean_uplift,count
Separated,0.27650146130097153,0.3470386318272273,191
Divorced,0.2103247359636281,0.30497591352986203,499
Single,0.19079721436067035,0.3941075168561491,733
Widowed,0.18971882089752815,0.21238931198982683,549
Married and living with your husband/wife,0.18404362242837377,0.23692685916706593,2563
Cohabitee,0.18273217122304933,0.27929713889014474,572
Civil Partner or Former Civil Partner,0.13279972951777996,0.1623941765004689,26
