decile,median_uplift,mean_uplift,n
D1,0.15055373822567303,1.4793719724340504,514
D2,0.0,0.025777695894569692,513
D3,0.0,0.0,513
D4,0.0,0.0,513
D5,0.0,0.0,514
D6,0.0,0.0,513
D7,0.0,0.0,513
D8,0.0,0.0,513
D9,0.0,0.0,513
D10,0.0,0.0,514
