scenario,anchored_pov60_week,anchored_rate_%,relative_pov60_week,relative_rate_%,baseline_median_eq,after_median_eq
FullUBI,145.965,0.27274498344048315,299.5220307692308,9.857782972920319,243.275,499.20338461538466
AutomationDividend,145.965,2.435223066432885,239.9630769230769,14.494447691408533,243.275,399.9384615384615
GMI,145.965,0.0,200.1316,19.501266315994545,243.275,333.55266666666665
