educ_cat,median_uplift,mean_uplift,count
GCSE D-G,0.24370252370210133,0.31700000543324836,141
,0.2137533919991392,0.2649157179059936,1522
O-Level or GCSE A-C,0.21117934866637705,0.27770586298701494,642
"Other, including foreign qualification below degree level",0.20761964081802128,0.26392347639310226,560
ONC National level/BTEC,0.206278273305619,0.4773780582478878,238
No formal qualifications,0.20063661999524493,0.2629369031534217,66
A-Levels/Highers,0.18625309880626423,0.24649626017641654,370
Higher education qualification below degree level,0.15840423572926332,0.1968852229383133,441
Degree or equivalent,0.13697251030204488,0.27021689849635805,1153
