feature,coef,odds_ratio
emp_code_ml_5.0,0.9676099888768688,2.6316472709268286
tenure_code_ml_2.0,0.8750845551464375,2.399078139794573
emp_code_ml_4.0,0.8234304940826614,2.2783021490298023
tenure_code_ml_1.0,0.8220175910585241,2.2750854020444424
lone_parent_ml_1.0,0.7422029872096876,2.1005579233094367
region_code_ml_12.0,0.7228452007259192,2.0602868088883306
eth_code_ml_3.0,0.6937330872625848,2.0011721567589977
educ_code_was_missing_1,0.663430614857044,1.941441260160473
emp_code_ml_7.0,0.5108878465691549,1.6667703745650715
mar_code_ml_1.0,0.4443728211193959,1.5595117961863196
educ_code_ml_8.0,0.41074917247185466,1.5079470744809962
educ_code_ml_5.0,0.40739176043877123,1.5028927642766021
educ_code_ml_6.0,0.4020891627804745,1.4949446201528016
sex_code_was_missing_0,0.3987385326175307,1.4899439959161718
emp_code_was_missing_0,0.3987385326175307,1.4899439959161718
region_code_was_missing_0,0.3987385326175307,1.4899439959161718
tenure_code_was_missing_0,0.3987385326175307,1.4899439959161718
eth_code_was_missing_0,0.3987385326175307,1.4899439959161718
lone_parent_was_missing_0,0.3987385326175307,1.4899439959161718
age_was_missing_0,0.3987385326175307,1.4899439959161718
mar_code_was_missing_0,0.3987385326175307,1.4899439959161718
tenure_code_ml_3.0,0.37474372984810606,1.454618591521129
sex_code_ml_1.0,0.3479169756939812,1.416114672921262
mar_code_ml_3.0,0.2996219381206516,1.3493485738743893
tenure_code_ml_8.0,0.26936829472241475,1.3091372005929194
mar_code_ml_7.0,0.2463633126940737,1.279364298406361
region_code_ml_10.0,0.2189262321090154,1.2447394514965353
tenure_code_ml_4.0,0.20795032818679657,1.2311520144771506
educ_code_ml_7.0,0.18950048105323114,1.208645705412215
eth_code_ml_2.0,0.13262597498640277,1.1418228481471433
region_code_ml_4.0,0.10602829564549535,1.111853336669293
region_code_ml_5.0,0.09100346111800801,1.0952727961203035
eth_code_ml_10.0,0.07975052265182604,1.0830168457985239
region_code_ml_1.0,0.06240163380764104,1.0643897538009548
mar_code_ml_5.0,0.06013560651987862,1.061980548267682
sex_code_ml_2.0,0.050821556923571445,1.0521351303017306
emp_code_ml_6.0,0.043661948081061976,1.0446291563012111
emp_code_ml_3.0,0.013274040892662457,1.0133625320852102
region_code_ml_9.0,0.0031368122997651638,1.0031417372436624
mar_code_ml_8.0,-0.005997792344348651,0.9940201585057334
eth_code_ml_4.0,-0.016566980007421177,0.983569497692064
educ_code_ml_4.0,-0.03985102727174774,0.9609325812382185
mar_code_ml_6.0,-0.057854047806150645,0.9437876852681776
region_code_ml_3.0,-0.09498113011488585,0.9093900943929332
region_code_ml_7.0,-0.10583664518608822,0.8995715854230729
region_code_ml_6.0,-0.12354461304076793,0.8837822121526984
region_code_ml_11.0,-0.14867064222279555,0.8618529261227007
region_code_ml_2.0,-0.14950365378313935,0.8611352916123437
educ_code_ml_3.0,-0.15624319144642876,0.8553511509917309
region_code_ml_8.0,-0.183066418740678,0.8327128461617267
educ_code_was_missing_0,-0.26469208223955615,0.7674422226881868
tenure_code_ml_5.0,-0.2782966454308785,0.7570722061896166
educ_code_ml_2.0,-0.3175658648025798,0.7279187349715854
lone_parent_ml_2.0,-0.3434644545921542,0.709308693363125
emp_code_ml_1.0,-0.43148101857751053,0.6495463917356638
tenure_code_ml_7.0,-0.43291725373181056,0.6486141599857582
eth_code_ml_1.0,-0.49080407227583633,0.6121339962736904
educ_code_ml_1.0,-0.49733196060607954,0.6081510681018448
mar_code_ml_4.0,-0.5879033056859846,0.5554907588991146
age_ml,-0.7696857708693935,0.46315858336648025
tenure_code_ml_6.0,-1.439212067182072,0.2371145154048788
emp_code_ml_2.0,-1.5286447673073953,0.21682932247205733
