model,features,accuracy,precision,recall,f1,roc_auc
logreg_no_income,no_income,0.7663551401869159,0.38341968911917096,0.7047619047619048,0.4966442953020134,0.8084774319411191
rf_no_income,no_income,0.8325545171339563,0.4782608695652174,0.2619047619047619,0.3384615384615385,0.791908308947415
