,count,missing,min,p25,p50,p75,p99,max,skew,P99/P50,negatives,zeros
eq_income_week (raw),5133,0,-288.624,163.76,243.275,360.0,815.28,1630.56,1.8775570139660591,3.3512691398622954,2,7
eq_income_week_winz (1–99%),5133,0,43.35,163.76,243.275,360.0,815.28,815.28,1.2118548704577328,3.3512691398622954,0,0
log_eq_income,5133,0,3.7921127087555884,5.10448986956788,5.498294639830407,5.8888779583328805,6.704757433360885,6.704757433360885,-0.3176569404998184,1.2194249076414885,0,0
